"03/18/2013,Glass elevation facing the southwest is a serious vastu defect. It creates an imbalance in the directions leading to financial losses."
"03/19/2013,The doors to bedroom is a symbol of possibilities in life. It should open at right angles to allow positive opportunities to flow."
"03/20/2013,Pasting mirrors in the cash box or drawers creates positive energies. Cash drawers should be pasted on south or west walls."
"03/21/2013,Toilets in Southeast can lead to losses in financial issues.Keeping plants in Toilets can help in cleansing of energies."
"03/22/2013,The main gate of society where you live should never face south west side. Neither it should face a big building or a T-junction."
"03/23/2013,Always go for a regular shape of the plots of your flats. Irregular shapes of plots lead to the flow of negative energies."
"03/24/2013,Do not keep the corners of your house dirty or congested. Keep them clean and allow the flow of energy in every corner of the house."
"03/25/2013,Avoid any kind of irritating noise while opening the doors of almirah or other doors of your house. It obstructs the money flow."
"03/26/2013,More openings in north side as compared to south allow positive energies and gives a financial boost in the environment."
"03/27/2013,Keeping dirty things under the stairs leads to Vastu defects. Also avoid keeping brooms mops and shoes under the staircases."
"03/28/2013,North north east and east directions are considered very pious. Avoid keeping brooms mops or shoes in these directions."
"03/29/2013,The north side is owned by Lord Kuber. So always keep the north side open and lightened. It should be lower in comparision to south."
"03/30/2013,Lighten all the lights of the house for even once during evening time. It vanishes the dullness depressions and tensions of the house."
"03/31/2013,If you owe a retail shop or a showroom sharp lightning can create a good vaastu environment. It creates heat energy which is beneficial."
"04/01/2013,Always go for a regular shape of the plots of your flats. Irregular shapes of plots lead to the flow of negative energies."
